id,name,type,latitude,longitude,capacity,operating_hours,features
null,홍천뚝배기,restaurant,36.122147,128.364461,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해장국""]}"
null,화성짬뽕,restaurant,36.121075,128.363305,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""]}"
null,황제두마리치킨,restaurant,36.115811,128.365029,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,B106,bar,36.116114,128.350184,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집""]}"
null,BBQ 구미송정점,restaurant,36.116104,128.350126,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""BBQ""]}"
null,가로세로호프,bar,36.119691,128.348951,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""호프,요리주점""]}"
null,가마골,restaurant,36.115665,128.349848,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,가잠 구미점,restaurant,36.116763,128.348206,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,감동까스 구미송정점,restaurant,36.119697,128.348948,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""일식"", ""돈까스,우동"", ""감동까스""]}"
null,강원도건강보리밥,restaurant,36.116165,128.350035,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,계화동 구미송정점,restaurant,36.116012,128.348754,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""닭요리""]}"
null,골목포차,bar,36.115804,128.348143,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""실내포장마차""]}"
null,공감족발 본점,restaurant,36.115134,128.351137,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""족발,보쌈""]}"
null,광명식육식당,restaurant,36.1145,128.356372,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,교촌치킨 구미송정점,restaurant,36.120753,128.348994,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""교촌치킨""]}"
null,구수한땅콩빵,restaurant,36.11682,128.350997,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식""]}"
